time, Quad.IMU.AX
1.885032,-0.221169
1.890032,-0.833737
1.895033,0.078452
1.900033,-0.168789
1.905033,-1.198668
1.910033,0.392721
1.915033,0.078771
1.920034,-0.610028
1.925034,0.092874
1.930034,0.615617
1.935034,-0.070023
1.940035,0.204253
1.945035,-0.050854
1.950035,0.417868
1.955035,-0.095415
1.960036,-0.419987
1.965036,-0.606730
1.970036,0.516923
1.975036,-0.425874
1.980036,-0.247203
1.985037,0.363799
1.990037,-0.353509
1.995037,0.368311
2.000037,0.150574
2.005037,-0.456903
2.010037,0.310739
2.015036,0.161095
2.020036,0.174673
2.025036,0.178198
2.030035,-0.402609
2.035035,0.580304
2.040035,0.354655
2.045034,-0.487518
2.050034,0.065460
2.055033,0.835423
2.060033,-0.202047
2.065033,-0.321269
2.070032,0.001300
2.075032,-0.254534
2.080032,-0.385657
2.085031,0.600527
2.090031,0.105223
2.095031,-0.542978
2.100030,0.325721
2.105030,-0.134152
2.110029,0.924615
2.115029,-0.676711
2.120029,-0.261561
2.125028,0.029341
2.130028,0.778554
2.135028,-0.299774
2.140027,-1.850681
2.145027,0.347055
2.150027,-0.206099
2.155026,0.179770
2.160026,0.523341
2.165025,-0.282962
2.170025,-0.678020
2.175025,-0.417088
2.180024,0.196148
2.185024,0.477949
2.190024,-0.052394
2.195023,0.317605
2.200023,-0.527001
2.205023,0.085640
2.210022,0.723443
2.215022,1.260292
2.220021,-0.277674
2.225021,-0.597389
2.230021,0.373969
2.235020,-0.021951
2.240020,-0.028666
2.245020,-0.571100
2.250019,-0.715852
2.255019,-0.968776
2.260019,-1.372243
2.265018,-0.215413
2.270018,0.160611
2.275017,0.287052
2.280017,0.723900
2.285017,-0.262459
2.290016,0.029663
2.295016,-0.741932
2.300016,0.887000
2.305015,0.038018
2.310015,0.765376
2.315015,0.339570
2.320014,0.972200
2.325014,0.154502
2.330014,-0.103652
2.335013,-0.182382
2.340013,-0.524903
2.345012,0.100554
2.350012,0.682507
2.355012,-0.431336
2.360011,0.256302
2.365011,-0.793320
2.370011,0.670940
2.375010,0.170656
2.380010,-0.103888
2.385010,-1.267998
2.390009,-0.399356
2.395009,-0.002082
2.400008,0.085759
2.405008,-0.067335
2.410008,-0.298552
2.415007,-0.132187
2.420007,0.526884
2.425007,0.308122
2.430006,0.575621
2.435006,-0.396062
2.440006,-0.186555
2.445005,0.197408
2.450005,-0.088740
2.455004,0.670133
2.460004,0.430704
2.465004,-0.902941
2.470003,-0.626407
2.475003,-0.389114
2.480003,0.235186
2.485002,0.125622
2.490002,-0.888339
2.495002,-0.184244
2.500001,0.074059
2.505001,0.300998
2.510000,0.014099
2.515000,-0.372832
2.520000,0.011488
2.524999,-0.447318
2.529999,0.259622
2.534999,-0.600858
2.539998,0.124080
2.544998,0.106370
2.549998,-0.260482
2.554997,-0.301888
2.559997,-0.141360
2.564996,-0.135153
2.569996,-0.972336
2.574996,0.115106
2.579995,-0.312575
2.584995,0.277140
2.589995,0.422253
2.594994,-0.848722
2.599994,0.487621
2.604994,0.733908
2.609993,0.493591
2.614993,1.243355
2.619992,-0.168816
2.624992,0.811817
2.629992,-0.374941
2.634991,-0.578437
2.639991,0.858273
2.644991,0.623296
2.649990,-0.000335
2.654990,-0.201030
2.659990,0.368635
2.664989,0.287155
2.669989,-0.122222
2.674989,0.722702
2.679988,-0.725924
2.684988,-0.662571
2.689987,0.296738
2.694987,-0.573868
2.699987,-0.019061
2.704986,-0.565504
2.709986,0.288974
2.714986,-0.740926
2.719985,0.449524
2.724985,-0.316430
2.729985,0.634427
2.734984,0.458222
2.739984,-0.042412
2.744983,-0.523641
2.749983,-0.024483
2.754983,0.454924
2.759982,-0.543651
2.764982,0.066654
2.769982,0.238047
2.774981,0.285650
2.779981,0.643571
2.784981,0.501300
2.789980,-0.201077
2.794980,-0.112125
2.799979,0.029269
2.804979,-0.184384
2.809979,-0.376973
2.814978,0.058732
2.819978,0.154729
2.824978,-0.496777
2.829977,0.756758
2.834977,0.253120
2.839977,0.562239
2.844976,0.811118
2.849976,-0.445521
2.854975,-0.144879
2.859975,-0.054476
2.864975,-0.934396
2.869974,0.702962
2.874974,-0.495693
2.879974,0.152470
2.884973,0.323022
2.889973,-0.290189
2.894973,-0.194054
2.899972,0.549215
2.904972,-0.053748
2.909971,0.752757
2.914971,0.238832
2.919971,0.255926
2.924970,0.167135
2.929970,-0.622370
2.934970,-0.219952
2.939969,-0.071833
2.944969,-0.299173
2.949969,0.187756
2.954968,0.195528
2.959968,-0.855601
2.964967,0.167988
2.969967,0.012948
2.974967,0.468346
2.979966,-0.261401
2.984966,-0.447946
2.989966,-0.151768
2.994965,0.984273
2.999965,-1.206589
3.004965,0.351659
3.009964,0.844449
3.014964,-0.269734
3.019964,-0.329892
3.024963,0.275167
3.029963,-0.207994
3.034962,-0.405808
3.039962,0.131486
3.044962,0.077255
3.049961,0.618083
3.054961,-0.258124
3.059961,-0.432642
3.064960,-0.052536
3.069960,0.293124
3.074960,0.137773
3.079959,-0.573259
3.084959,0.398926
3.089958,-0.046254
3.094958,-1.037345
3.099958,-0.503379
3.104957,-0.378088
3.109957,0.009816
3.114957,0.032107
3.119956,-0.848295
3.124956,0.038033
3.129956,0.869732
3.134955,0.945142
3.139955,-0.093508
3.144954,-0.768274
3.149954,-1.104371
3.154954,0.421378
3.159953,-0.062004
3.164953,-0.287317
3.169953,-0.560362
3.174952,-0.003151
3.179952,0.154528
3.184952,-0.712039
3.189951,-0.340808
3.194951,0.802160
3.199950,-0.297750
3.204950,-0.442741
3.209950,0.667863
3.214949,0.313123
3.219949,-0.598846
3.224949,0.220941
3.229948,0.172875
3.234948,0.453841
3.239948,-0.483393
3.244947,-0.022777
3.249947,0.209233
3.254946,-0.160275
3.259946,0.011199
3.264946,-0.664292
3.269945,-0.521455
3.274945,0.643164
3.279945,-0.873890
3.284944,-0.231655
3.289944,-0.124411
3.294944,-0.237687
3.299943,-0.279557
3.304943,-0.226983
3.309942,0.058130
3.314942,0.729927
3.319942,-0.999116
3.324941,0.020824
3.329941,0.808711
3.334941,-0.186328
3.339940,-0.571666
3.344940,0.058608
3.349940,-0.182386
3.354939,-0.429148
3.359939,-0.742731
3.364938,-0.073706
3.369938,-0.535115
3.374938,0.293192
3.379937,-0.015214
3.384937,-0.390202
3.389937,-1.010882
3.394936,-0.435088
3.399936,-0.732351
3.404936,0.686023
3.409935,0.027745
3.414935,-0.005463
3.419935,0.308605
3.424934,0.664318
3.429934,-0.048366
3.434933,0.110136
3.439933,1.346850
3.444933,-0.194817
3.449932,-0.088009
3.454932,-0.204007
3.459932,0.452423
3.464931,-0.555180
3.469931,-0.366341
3.474931,0.943289
3.479930,-0.527690
3.484930,0.081089
3.489929,-0.271353
3.494929,0.153349
3.499929,0.278903
3.504928,-0.534835
3.509928,-0.513476
3.514928,-0.805958
3.519927,-0.598328
3.524927,0.661647
3.529927,-0.501907
3.534926,-0.228984
3.539926,-0.799607
3.544925,-0.297986
3.549925,-0.079090
3.554925,0.271009
3.559924,0.258747
3.564924,0.107081
3.569924,-0.234261
3.574923,-0.017572
3.579923,-0.611120
3.584923,0.640978
3.589922,-0.752105
3.594922,0.052579
3.599921,0.458106
3.604921,0.351770
3.609921,0.824653
3.614920,0.188798
3.619920,0.089289
3.624920,-0.600599
3.629919,-1.105906
3.634919,0.889745
3.639919,0.711660
3.644918,0.158875
3.649918,-0.801695
3.654917,0.121848
3.659917,0.171424
3.664917,0.717182
3.669916,-0.297837
3.674916,0.066299
3.679916,-0.215481
3.684915,0.414203
3.689915,-0.634728
3.694915,0.083607
3.699914,-0.958522
3.704914,-1.083340
3.709913,1.387396
3.714913,0.666979
3.719913,-0.321376
3.724912,0.250671
3.729912,0.034278
3.734912,0.147548
3.739911,-0.548304
3.744911,0.439167
3.749911,0.542969
3.754910,0.349726
3.759910,-0.284774
3.764910,0.537752
3.769909,0.008873
3.774909,0.541505
3.779908,0.201557
3.784908,-0.686084
3.789908,0.869547
3.794907,0.253091
3.799907,0.235818
3.804907,1.114530
3.809906,-0.977355
3.814906,-0.117508
3.819906,-0.629310
3.824905,0.559609
3.829905,-0.270670
3.834904,-0.570575
3.839904,-0.551324
3.844904,0.796645
3.849903,0.946321
3.854903,-0.221148
3.859903,-0.572216
3.864902,0.152063
3.869902,0.152229
3.874902,0.717959
3.879901,-0.530042
3.884901,-0.267355
3.889900,-0.873817
3.894900,0.264386
3.899900,0.205855
